passenger_id,pickup_latitude,pickup_longitude,pickup_location,destination_latitude,destination_longitude,destination_location,trip_urgency,estimated_trip_distance_km,ride_frequency,cancellation_tendency,passenger_rating,request_time,time_of_day,at_event,event_type,tip_amount
b5bae2cb-888f-4e6a-b66b-e85bdf2dc3a6,13.079027027873854,77.80366602245446,Hoskote,13.071621512797568,77.58756221588419,Byatarayanapura,Medium,23.39,Daily,23.89,4.09,2025-03-16 01:11:13.359674,Night,False,None,30
fde55984-39ff-4ab5-9127-bf84328200bd,12.964262658774006,77.54558938208567,Govindraj Nagar,13.034523015649885,77.60513254190471,Hebbal,Medium,10.11,Daily,27.23,4.11,2025-03-16 07:27:13.360030,Morning,False,None,0
698a4027-db38-43a7-afdd-dde2525185c1,12.994820630740863,77.62847056332288,Pulakeshinagar,13.055184008237289,77.62280232324582,Hennur,Low,6.73,Occasional,6.36,3.64,2025-03-16 05:16:13.360315,Morning,False,None,0
384b37b1-d487-454f-8302-8ab0dd0cab16,12.93005858893771,77.52671679087882,Rajarajeshwarinagar,12.971867687317614,77.56803054105538,Gandhi Nagar,Low,6.44,Daily,10.97,4.53,2025-03-16 08:46:13.360646,Morning,False,None,0
1740023e-ce2d-4b35-bdcf-2c099e20e321,12.936196274975492,77.56261929693073,Basavanagudi,12.981034163867855,77.63733323231929,Indiranagar,Low,9.49,Weekly,9.12,4.72,2025-03-16 06:49:13.360922,Morning,False,None,10
95f315b0-d926-4bc7-8676-900238d2d048,13.2921519100767,77.5466689983853,Doddaballapur,12.860579794432178,77.59323867219597,Bannerghatta,Medium,48.17,Occasional,19.53,4.39,2025-03-15 22:51:13.361189,Night,False,None,20
bdaed21a-9485-44fa-a341-6f68c1f86196,13.011529217856443,77.55710803080994,Mahalakshmi Layout,12.949934979706354,77.57895699532455,Basavanagudi,High,7.23,Weekly,14.43,4.72,2025-03-16 13:23:13.361495,Afternoon,False,None,0
5fc16756-18cf-40f6-b6d1-6f7dc55f174b,12.978112199569916,77.57156625046244,Chickpet,13.067924541651955,77.79031066514612,Hoskote,Medium,25.67,Weekly,14.51,4.37,2025-03-16 02:42:13.361826,Night,False,None,0
3a0532f4-420b-4531-b866-cc2bbca3654e,12.92654534007027,77.62512516365709,Koramangala,13.030761016094958,77.60621692548332,Hebbal,High,11.75,Monthly,16.78,3.92,2025-03-16 07:25:13.362104,Morning,True,Concert,0
9917d809-ae2c-4188-9330-aeeace6e283c,12.939813928479353,77.5339653324331,Mysore Road,13.01972861798267,77.53897880556995,Mahalakshmi Layout,High,8.89,Occasional,14.09,4.9,2025-03-15 23:56:13.362403,Night,True,Festival,0
d436aa23-3f22-4267-bfe8-55005f1b5463,12.995596208237597,77.55626890644363,Rajaji Nagar,12.953721155119634,77.53259670000898,Govindraj Nagar,Medium,5.31,Occasional,14.84,4.44,2025-03-15 21:27:13.362761,Night,True,Conference,20
a629d11f-7493-4728-b3b5-b5c3471ef089,12.925790136205965,77.611439993035,BTM Layout,12.92624541693595,77.62459666961693,Madiwala,Medium,1.42,Weekly,19.67,4.56,2025-03-16 06:15:13.363051,Morning,False,None,0
4fb0482c-062c-406a-88c1-a508083fc7a0,12.912216911157477,77.58369823880734,JP Nagar,12.990867143136015,77.70193248544426,Mahadevapura,High,15.48,Occasional,1.84,3.74,2025-03-16 14:41:13.363311,Afternoon,True,Sports,0
77e46858-f2d1-41f9-8e7b-5995d8f398de,13.038169056834677,77.59566357863548,Hebbal,12.920632782229518,77.61578067245875,BTM Layout,High,13.23,Monthly,12.89,3.93,2025-03-16 01:33:13.363658,Night,False,None,0
9f5ac528-8dc7-401a-b835-2c1192bf16e0,12.975357201120305,77.6718955381479,CV Raman Nagar,13.289512853556067,77.53446293185323,Doddaballapur,Medium,37.91,Monthly,1.99,4.45,2025-03-16 16:01:13.363951,Afternoon,False,None,20
72b8b0b3-7549-4420-9598-416aeac9ca96,13.291996355120695,77.53493074438543,Doddaballapur,13.096186758600194,77.38547930672067,Nelamangala,High,27.09,Daily,7.49,3.6,2025-03-15 20:26:13.364210,Evening,False,None,0
2fdd78f0-f280-4541-9b03-9967c8a1057e,12.946917964427723,77.5392245228711,Mysore Road,12.988993973274143,77.66554672721792,CV Raman Nagar,High,14.44,Monthly,36.66,4.24,2025-03-16 10:32:13.364512,Morning,False,None,10
9b7ed000-83e1-4f10-b495-029a37b101ff,13.021804229271194,77.55619541382053,Yeshwantpur,12.98999561487032,77.61734053199555,Shivajinagar,Low,7.5,Daily,18.01,4.51,2025-03-16 02:30:13.364787,Night,False,None,0
9fbfb12d-fd3d-4900-896a-3a4133126c09,12.91699330211253,77.60521600812085,BTM Layout,12.977624892847011,77.61167196169363,Shivajinagar,Low,6.77,Monthly,8.64,3.54,2025-03-15 23:35:13.365044,Night,False,None,20
e825b170-168d-4e5d-a187-81969a761277,12.714046788029249,77.70255473068248,Anekal,13.016897440873167,77.57897100722928,Mekhri Circle,Medium,36.18,Monthly,33.75,4.65,2025-03-16 11:45:13.365302,Morning,False,None,0
cfb40d68-7b4c-4868-83c2-dcc1462a2791,13.005374180257279,77.689836604174,Krishnarajapuram,12.985323100651383,77.62938731795354,Pulakeshinagar,Medium,6.91,Weekly,26.36,4.35,2025-03-16 12:26:13.365603,Afternoon,False,None,10
47807009-f986-4cb8-95dc-efb4a0037870,13.024783173281717,77.50894247110877,Dasarahalli,13.025608915586602,77.63543975678837,Sarvagnanagar,High,13.68,Daily,26.39,4.44,2025-03-16 06:33:13.365864,Morning,False,None,0
9c067f51-3996-45de-8eac-079e22eeeec4,12.966890723460978,77.58079106580882,Chickpet,12.92475787256975,77.61582112731871,BTM Layout,Medium,6.02,Monthly,19.83,3.66,2025-03-16 06:44:13.366138,Morning,True,Conference,50
071633c2-6057-4ec2-be3e-a218864aba84,13.005188493824988,77.57464604819396,Mekhri Circle,12.99036152037111,77.61660133653905,Shivajinagar,High,4.83,Weekly,9.93,4.43,2025-03-16 10:15:13.366505,Morning,False,None,0
23bd98f1-9891-4703-9557-b1f83fd032eb,12.970956181354438,77.57192436285102,Chickpet,12.720127444740266,77.29639094422834,Ramanagaram,High,40.78,Monthly,68.16,3.88,2025-03-16 15:28:13.366798,Afternoon,False,None,0
8cd30f25-8180-4c02-8c65-42f839e1e1ba,12.900803022240034,77.61554960011046,Bommanahalli,12.935873780383877,77.61791414347225,Koramangala,Low,3.9,Daily,11.78,4.06,2025-03-16 06:32:13.367055,Morning,False,None,10
2029a76d-ed64-469d-8687-215a711bb5f1,12.651444994146717,77.21459469979692,Channapatna,12.897428469508348,77.59686358257473,JP Nagar,Low,49.55,Occasional,23.09,3.92,2025-03-16 11:50:13.367311,Morning,False,None,10
d55545ed-70c8-4a4c-8e81-d3a1193191c1,13.033986114410895,77.55355764729852,Yeshwantpur,13.239188997761845,77.70776113089646,Devanahalli,Medium,28.23,Occasional,5.65,4.92,2025-03-16 08:34:13.367606,Morning,False,None,0
